 sim_time real_time ratio_sim_real
608 193.272 1259.11 0.0528383
609 193.378 1261.12 0.0526745
610 193.501 1263.12 0.0613974
611 193.61 1265.13 0.0543138
612 193.738 1267.14 0.0637863
613 193.863 1269.14 0.0624564
614 193.972 1271.15 0.0542339
615 194.077 1273.16 0.0522456
616 194.168 1275.16 0.045414
617 194.279 1277.17 0.0553023
618 194.408 1279.17 0.0644615
619 194.484 1281.17 0.037996
620 194.594 1283.17 0.0549288
621 194.719 1285.18 0.0623704
622 194.839 1287.18 0.059794
623 194.962 1289.2 0.0609878
624 195.07 1291.21 0.0537694
625 195.188 1293.21 0.0589734
626 195.292 1295.22 0.0518512
627 195.419 1297.22 0.0634631
628 195.534 1299.24 0.0568775
629 195.643 1301.24 0.0543229
630 195.768 1303.25 0.0624509
631 195.88 1305.26 0.0556154
632 195.994 1307.26 0.0569124
633 196.088 1309.27 0.0469478
634 196.209 1311.27 0.0604126
635 196.32 1313.27 0.055365
636 196.42 1315.27 0.0499967
637 196.548 1317.28 0.063925
638 196.65 1319.28 0.0509172
639 196.764 1321.28 0.0569839
640 196.872 1323.28 0.0539511
641 196.994 1325.29 0.0608574
642 197.105 1327.29 0.055399
643 197.212134 1329.3 0.0533115
644 197.339 1331.31 0.0631115
645 197.448134 1333.31 0.0544615
646 197.579 1335.33 0.0647797
647 197.658 1337.34 0.039372
648 197.775 1339.36 0.0580482
649 197.894 1341.36 0.0593589
650 198.0 1343.4 0.0520791
651 198.121 1345.41 0.0600876
652 198.233 1347.41 0.0559047
653 198.349 1349.42 0.0577942
654 198.454 1351.43 0.0523154
655 198.579 1353.44 0.0622146
656 198.689 1355.44 0.0548918
657 198.8 1357.47 0.054679
658 198.908 1359.48 0.0536412
659 199.018 1361.5 0.0546462
660 199.137 1363.5 0.0594439
661 199.235 1365.5 0.0488636
662 199.335 1367.51 0.0497306
663 199.438134 1369.52 0.0515543
664 199.573 1371.52 0.0673973
665 199.675 1373.52 0.0508819
666 199.781 1375.52 0.0529592
667 199.886 1377.54 0.051997
668 199.975 1379.55 0.0443284
669 200.085 1381.56 0.0547755
670 200.216 1383.57 0.0652104
671 200.33 1385.57 0.0568796
672 200.447 1387.58 0.0583744
673 200.576 1389.58 0.0644284
674 200.694 1391.59 0.0586135
675 200.8 1393.59 0.0529797
676 200.906 1395.59 0.0529226
677 201.014 1397.61 0.0536776
678 201.101 1399.61 0.0434648
679 201.21 1401.61 0.054371
680 201.322 1403.62 0.0558268
681 201.426 1405.63 0.0517072
682 201.541 1407.64 0.0572535
683 201.637 1409.65 0.047727
684 201.757 1411.66 0.0598589
685 201.869 1413.67 0.0555872
686 201.984 1415.69 0.056863
687 202.07 1417.69 0.0429804
688 202.194 1419.7 0.061748
