#CELLSIZE=5.000000,DATACOL=-1,DATATYPE=pedestrianCount,IDXCOL=3,MAP_TYPE=ymfPlusDistStep,NODE_ID=18,SEP=;,SIM_BBOX=0;0;164.1;215.1,VERSION=0.4,XOFFSET=-692273.889474,XSIZE=164.100000,YOFFSET=-5337503.566101,YSIZE=215.100000
simtime;x;y;count;measured_t;received_t;source;selection;selectionRank;sourceHost;sourceEntry;hostEntry;rsd_id;own_cell
18;14;10;0;14.421558157559;17.903134;1076;ymfPlusDistStep;0.01;8.25665;6.25116;43.2309;-1;0
18;14;11;1;17.641558157559;17.903134;1076;ymfPlusDistStep;0.01;8.25665;30.3355;38.3568;-1;0
18;14;16;0;12.851558157559;17.903134;1076;ymfPlusDistStep;0.01;8.25665;3.27971;15.2611;-1;0
18;15;16;0;15.241558157559;17.903134;1076;ymfPlusDistStep;0.01;8.25665;12.124;18.6733;-1;0
18;15;17;1;17.821558157559;17.903134;1076;ymfPlusDistStep;0.0111111;8.25665;13.1347;15.8437;-1;0
19;12;16;0;9.155711623909;18.498134;416;ymfPlusDistStep;0.00909091;35.0785;5.27705;12.3014;-1;0
19;12;17;1;18.935;18.956134;18;ymfPlusDistStep;0.00909091;0;7.32503;7.32503;1;0
19;12;18;1;18.92;18.942134;18;ymfPlusDistStep;0.00909091;0;2.44688;2.44688;1;0
19;13;8;0;14.015711623909;18.498134;416;ymfPlusDistStep;0.00909091;35.0785;40.8554;52.4258;-1;0
19;13;9;1;18.729;18.750134;18;ymfPlusDistStep;0.00909091;0;47.4425;47.4425;1;0
19;13;10;1;18.759;18.781134;18;ymfPlusDistStep;0.00909091;0;42.4632;42.4632;1;0
19;13;11;0;18.235711623909;18.498134;416;ymfPlusDistStep;0.00909091;35.0785;16.6265;37.4894;-1;0
19;13;12;1;18.746;18.767134;18;ymfPlusDistStep;0.02;0;32.5237;32.5237;1;0
19;13;14;1;18.643;18.665134;18;ymfPlusDistStep;0.01;0;22.6374;22.6374;1;0
19;13;15;4;18.796;18.818134;18;ymfPlusDistStep;0.00909091;0;17.7421;17.7421;1;0
19;13;16;0;15.935711623909;18.498134;416;ymfPlusDistStep;0.00909091;35.0785;35.1096;12.9272;-1;0
19;13;17;0;16.685711623909;18.498134;416;ymfPlusDistStep;0.01;35.0785;9.64418;8.33335;-1;0
19;14;9;0;9.275711623909;18.498134;416;ymfPlusDistStep;0.00909091;35.0785;31.9751;48.1309;-1;0
19;14;10;0;14.455711623909;18.498134;416;ymfPlusDistStep;0.00909091;35.0785;6.25116;43.2309;-1;0
19;14;11;1;18.698;18.720134;18;ymfPlusDistStep;0.00909091;0;38.3568;38.3568;1;0
19;14;16;0;12.885711623909;18.498134;416;ymfPlusDistStep;0.00909091;35.0785;3.27971;15.2611;-1;0
19;15;16;0;15.275711623909;18.498134;416;ymfPlusDistStep;0.00909091;35.0785;12.124;18.6733;-1;0
19;15;17;0;18.844;18.865134;18;ymfPlusDistStep;0.01;0;15.8437;15.8437;1;0
19;16;17;1;18.865134;18.865134;18;ymfPlusDistStep;1;0;20.4159;20.4159;1;0
20;12;16;0;9.18009286973;19.819134;1076;ymfPlusDistStep;0.00909091;6.53261;5.27705;12.3014;-1;0
20;12;17;1;19.80009286973;19.819134;1076;ymfPlusDistStep;0.00909091;6.53261;2.29124;7.32503;-1;0
20;12;18;0;19.34009286973;19.819134;1076;ymfPlusDistStep;0.00909091;6.53261;4.90318;2.44688;-1;0
20;12;19;1;19.73009286973;19.819134;1076;ymfPlusDistStep;0.05;6.53261;9.38628;2.88417;-1;0
20;13;8;0;14.04009286973;19.819134;1076;ymfPlusDistStep;0.00909091;6.53261;40.8554;52.4258;-1;0
20;13;9;0;19.34009286973;19.819134;1076;ymfPlusDistStep;0.00909091;6.53261;40.7835;47.4425;-1;0
20;13;10;2;19.934;19.971134;18;ymfPlusDistStep;0.00909091;0;42.4632;42.4632;1;0
20;13;11;0;18.26009286973;19.819134;1076;ymfPlusDistStep;0.00909091;6.53261;16.6265;37.4894;-1;0
20;13;12;2;19.837;19.859134;18;ymfPlusDistStep;0.0142857;0;32.5237;32.5237;1;0
20;13;14;1;19.68009286973;19.819134;1076;ymfPlusDistStep;0.01;6.53261;16.2113;22.6374;-1;0
20;13;15;2;19.963;19.984134;18;ymfPlusDistStep;0.00909091;0;17.7421;17.7421;1;0
20;13;16;2;19.785;19.807134;18;ymfPlusDistStep;0.00909091;0;12.9272;12.9272;1;0
20;13;17;0;16.71009286973;19.819134;1076;ymfPlusDistStep;0.01;6.53261;9.64418;8.33335;-1;0
20;14;9;0;9.30009286973;19.819134;1076;ymfPlusDistStep;0.00909091;6.53261;31.9751;48.1309;-1;0
20;14;10;0;14.48009286973;19.819134;1076;ymfPlusDistStep;0.00909091;6.53261;6.25116;43.2309;-1;0
20;14;11;0;19.31009286973;19.819134;1076;ymfPlusDistStep;0.00909091;6.53261;31.7813;38.3568;-1;0
20;14;12;0;19.837;19.859134;18;ymfPlusDistStep;0.05;0;33.5198;33.5198;1;0
20;14;16;0;12.91009286973;19.819134;1076;ymfPlusDistStep;0.00909091;6.53261;3.27971;15.2611;-1;0
20;15;16;0;15.30009286973;19.819134;1076;ymfPlusDistStep;0.00909091;6.53261;12.124;18.6733;-1;0
20;15;17;0;18.86009286973;19.819134;1076;ymfPlusDistStep;0.01;6.53261;3.09435;15.8437;-1;0
20;16;17;1;19.68009286973;19.819134;1076;ymfPlusDistStep;0.0333333;6.53261;18.5437;20.4159;-1;0
21;12;15;1;20.690753773352;20.922134;1221;ymfPlusDistStep;0.05;42.1748;25.6934;17.2914;-1;0
21;12;16;1;20.720753773352;20.922134;1221;ymfPlusDistStep;0.00909091;42.1748;30.5101;12.3014;-1;0
21;12;17;1;20.750753773352;20.922134;1221;ymfPlusDistStep;0.00909091;42.1748;35.3776;7.32503;-1;0
21;12;18;0;19.380753773352;20.922134;1221;ymfPlusDistStep;0.00909091;42.1748;4.90318;2.44688;-1;0
21;12;19;1;20.881;20.902134;18;ymfPlusDistStep;0.01;0;2.88417;2.88417;1;0
21;13;8;0;14.080753773352;20.922134;1221;ymfPlusDistStep;0.00909091;42.1748;40.8554;52.4258;-1;0
21;13;9;0;19.380753773352;20.922134;1221;ymfPlusDistStep;0.00909091;42.1748;40.7835;47.4425;-1;0
21;13;10;2;20.670753773352;20.922134;1221;ymfPlusDistStep;0.00909091;42.1748;38.3178;42.4632;-1;0
21;13;11;0;18.300753773352;20.922134;1221;ymfPlusDistStep;0.00909091;42.1748;16.6265;37.4894;-1;0
21;13;12;2;20.810753773352;20.922134;1221;ymfPlusDistStep;0.01;42.1748;9.91766;32.5237;-1;0
21;13;14;1;20.94;20.961134;18;ymfPlusDistStep;0.00909091;0;22.6374;22.6374;1;0
